Date,FileName,Control,Claim_ct,x12Partner
20210422,2021-04-22-040416-batch-p4.txt,619100256,1,330897513
20210515,2021-05-15-034655-batch-p4.txt,621086415,15,330897513
20210422,2021-04-22-050225-batch-p4.txt,619103745,1,330897513
20210510,2021-05-10-090310-batch-p4.txt,620673390,1,330897513
20210421,2021-04-21-155143-batch-p4.txt,619056303,1,330897513
20210514,2021-05-14-015043-batch-p4.txt,620993043,1,330897513
20210422,2021-04-22-040220-batch-p4.txt,619100140,1,330897513
20210422,2021-04-22-044710-batch-p4.txt,619102830,1,330897513
20210422,2021-04-22-051408-batch-p4.txt,619104448,8,330897513
20210422,2021-04-22-042755-batch-p4.txt,619101675,1,330897513
20210422,2021-04-22-041700-batch-p4.txt,619101020,9,330897513
20210529,2021-05-29-060235-batch-p4.txt,622304155,38,330897513
20210617,2021-06-17-074447-batch-p4.txt,623951887,1,330897513
20210617,2021-06-17-074223-batch-p4.txt,623951743,1,330897513
20210617,2021-06-17-073155-batch-p4.txt,623951115,1,330897513
20210607,2021-06-07-100043-batch-p4.txt,623096043,1,330897513
20210625,2021-06-25-105642-batch-p4.txt,624654602,1,330897513
20210628,2021-06-28-043846-batch-p4.txt,624891126,1,330897513
20210625,2021-06-25-022634-batch-p4.txt,624623994,24,330897513
20210617,2021-06-17-071832-batch-p4.txt,623950312,1,330897513
20210617,2021-06-17-074834-batch-p4.txt,623952114,1,330897513
20210617,2021-06-17-081809-batch-p4.txt,623953889,1,330897513
20210626,2021-06-26-084238-batch-p4.txt,624732958,17,330897513
20210617,2021-06-17-085714-batch-p4.txt,623956234,1,330897513
20210625,2021-06-25-105907-batch-p4.txt,624654747,1,330897513
20210823,2021-08-23-094817-batch-p4.txt,629748097,2,330897513
20210818,2021-08-18-121827-batch-p4.txt,629325107,5,330897513
20210727,2021-07-27-081420-batch-p4.txt,627409660,1,330897513
20210713,2021-07-13-131326-batch-p4.txt,626218006,2,330897513
20210804,2021-08-04-071221-batch-p4.txt,628097141,9,330897513
20210629,2021-06-29-084538-batch-p4.txt,624992338,1,330897513
20210729,2021-07-29-081535-batch-p4.txt,627582535,1,330897513
20210809,2021-08-09-073706-batch-p4.txt,628530626,9,330897513
20210729,2021-07-29-080659-batch-p4.txt,627582019,3,330897513
20210823,2021-08-23-093256-batch-p4.txt,629747176,14,330897513
20210727,2021-07-27-074307-batch-p4.txt,627407787,1,330897513
20210714,2021-07-14-150743-batch-p4.txt,626311263,9,330897513
20210811,2021-08-11-091325-batch-p4.txt,628709205,9,330897513
20210709,2021-07-09-115548-batch-p4.txt,625867748,1,330897513
20210706,2021-07-06-065212-batch-p4.txt,625590332,1,330897513
20210717,2021-07-17-035044-batch-p4.txt,626529844,3,330897513
20210802,2021-08-02-095421-batch-p4.txt,627934061,4,330897513
20210726,2021-07-26-081544-batch-p4.txt,627323344,16,330897513
20210713,2021-07-13-134354-batch-p4.txt,626219834,1,330897513
20210630,2021-06-30-233616-batch-p4.txt,625132176,7,330897513
20210816,2021-08-16-100619-batch-p4.txt,629144379,9,330897513
20210812,2021-08-12-102612-batch-p4.txt,628799972,4,330897513
20210818,2021-08-18-121158-batch-p4.txt,629324718,5,330897513
20210804,2021-08-04-080821-batch-p4.txt,628100501,6,330897513
20210823,2021-08-23-150443-batch-p4.txt,629767083,4,330897513
20210825,2021-08-25-073238-batch-p4.txt,629912758,12,330897513
20210802,2021-08-02-102045-batch-p4.txt,627935645,3,330897513
20210824,2021-08-24-120316-batch-p4.txt,629842596,4,330897513
20210817,2021-08-17-084002-batch-p4.txt,629225602,4,330897513
20210817,2021-08-17-090341-batch-p4.txt,629227021,10,330897513
20210717,2021-07-17-023944-batch-p4.txt,626525584,1,330897513
20210705,2021-07-05-084835-batch-p4.txt,625510915,2,330897513
20210723,2021-07-23-055321-batch-p4.txt,627055601,3,330897513
20210705,2021-07-05-083313-batch-p4.txt,625509993,1,330897513
20210726,2021-07-26-082713-batch-p4.txt,627324033,5,330897513
20210823,2021-08-23-083611-batch-p4.txt,629743771,18,330897513
20210820,2021-08-20-155750-batch-p4.txt,629511070,13,330897513
20210727,2021-07-27-072859-batch-p4.txt,627406939,13,330897513
20210707,2021-07-07-075032-batch-p4.txt,625680232,1,330897513
20210715,2021-07-15-150317-batch-p4.txt,626397397,2,330897513
20210723,2021-07-23-045658-batch-p4.txt,627052218,9,330897513
20210630,2021-06-30-232728-batch-p4.txt,625131648,10,330897513
20210713,2021-07-13-132900-batch-p4.txt,626218940,2,330897513
20210707,2021-07-07-074409-batch-p4.txt,625679849,1,330897513
20210701,2021-07-01-203924-batch-p4.txt,625207964,11,330897513
20210802,2021-08-02-103254-batch-p4.txt,627936374,3,330897513
20210819,2021-08-19-083506-batch-p4.txt,629398106,12,330897513
20210701,2021-07-01-225945-batch-p4.txt,625216385,76,330897513
20210715,2021-07-15-150429-batch-p4.txt,626397469,1,330897513
20210802,2021-08-02-102825-batch-p4.txt,627936105,2,330897513
20210702,2021-07-02-081454-batch-p4.txt,625249694,1,330897513
20210720,2021-07-20-150822-batch-p4.txt,626829702,1,330897513
20210713,2021-07-13-133821-batch-p4.txt,626219501,3,330897513
